SMILES,is_stoned
O=C1COc2cc(C(=O)NCC(c3cccc(Cl)c3)N3CCCC3)ccc2N1,False
O=C(Nc1nnc2n1CCCC2)c1cccc(-c2ncn[nH]2)c1,False
Cc1cc(Cl)cc2cc(-c3noc([C@@H]4CCO[C@H]4c4nccn4C)n3)oc12,False
NC(=O)[C@@H]1Cc2ccccc2N1C(=O)Cc1cnc2ccccc2c1,False
O=C(Nc1cnc2c(c1)COCC2)c1cc2ccc(C(F)(F)F)cc2[nH]1,False
O=C(Nc1ccc(F)c(-c2nc[nH]n2)c1)c1ccc(=O)n(-c2ccccc2)n1,False
Cc1cccc(Oc2ccc(NC(=O)N3CCC(c4nnc[nH]4)C3)cn2)c1C,False
Cc1cccc(-c2[nH]ncc2CNc2ccc3c(c2)OCC(=O)N3)c1,False
O=C(NC[C@H]1CC[C@@H](c2ccccc2)O1)c1ccc2[nH]nnc2n1,False
O=C(Nc1ccc(Cc2nnn[nH]2)cc1)C1CCn2c(cnc2-c2ccccc2)C1,False
O=c1nc(C2CCCN(c3ncnc4c3oc3ccccc34)C2)[nH][nH]1,False
CN(C)C(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc3ccccc3c1)C2,False
O=C(Cn1cn[nH]c1=O)N1Cc2ccccc2C(c2ccccc2)C1,False
O=C1CN(C(=O)c2cc(F)cc3cccnc23)c2cccc(F)c2N1,False
Cc1ccc(NC(=O)Nc2ccccc2)cc1NC(=O)Cn1cc2ccccc2n1,False
Cc1c(NC(=O)c2ccc3[nH]nnc3c2)cnn1-c1ccccc1F,False
Cc1noc(C)c1CNC(c1cccc(S(C)(=O)=O)c1)c1cc(F)ccc1F,False
O=C(Nc1cccc(N2CCNC2=O)c1)C1CCCN1C(=O)Cc1ccccc1,False
O=C(NCc1cc2ccccc2[nH]1)C1CC(=O)N(c2ccc(F)cc2F)C1,False
Cc1cc(NC(=O)N2CCCC2c2nc(-c3ccccc3)n[nH]2)ccn1,False
O=C(NCc1nc(Cc2ccccc2F)no1)c1cc2cc(Br)ccc2[nH]1,False
Cc1nn(-c2ccccc2)c(C)c1C1COCCN1c1nccn2nnnc12,False
O=C(NCc1nc(-c2ccccc2)n[nH]1)NCc1cc(F)ccc1F,False
O=c1ccc2cc(S(=O)(=O)N3CCCCC3Cc3ccccc3)ccc2[nH]1,False
O=C(NC1CCc2nc(-c3ccc(F)cc3F)cn2C1)c1ncc2n1CCCC2,False
CC1(C)CC(NC[C@@H]2CCO[C@@H]2c2nc(C3CC3)no2)c2ccccc21,False
Cc1nnc2n1CC(NC(=O)c1nn(-c3cccc(F)c3)c3c1CCCC3)CC2,False
O=C(NCC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)c1cccnc1,False
